id,title,categories,rating,ratings,image url,time,description,ingredients,steps,url
1,"Zucchini Stuffing Bake","Side Dish,Vegetables,Squash,Zucchini",4.8,4,"https://www.allrecipes.com/thmb/lPZpKA5f5N66-xeHFBSbadzK39k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-245251-zucchini-stuffing-bake-VAT-4x3-2closecrop-2c3804ce555c49aba357326c626d3141.jpg","1 hr 10 mins","Familiar tastes with a twist! I've been making this recipe for about 12 years, and it's become a staple for all holiday meals.","2 pounds zucchini, sliced crosswise 1/3-inch thick|1 onion, diced|1 (10.75 ounce) can cream of chicken soup|8 ounces sour cream|salt and ground black pepper to taste|1 (6 ounce) package corn bread stuffing mix (such as Kraft® Stove Top®)|¼ cup butter, melted|1 cup grated Cheddar cheese","Gather all ingredients. Preheat oven to 350 degrees F (175 degrees C).|AllRecipes/Qi Ai|Bring 1/2 cup of lightly salted water to a boil. Add zucchini and onion and cook uncovered until crisp-tender, about 5 minutes. Drain in a colander and transfer to a bowl.|AllRecipes/Qi Ai|Stir soup and sour cream into zucchini and onions. Season with salt and pepper.|AllRecipes/Qi Ai|Combine stuffing mix with butter in a small bowl; stir well.|AllRecipes/Qi Ai|Layer half of the stuffing mix into the bottom of a 9x13-inch baking dish. Spoon the zucchini mixture on top. Sprinkle with half of the Cheddar cheese.|AllRecipes/Qi Ai|Add the rest of the stuffing mix, then the remaining cheese. Cover baking dish with aluminum foil.|AllRecipes/Qi Ai|Bake in the preheated oven until bubbly, about 30 minutes. Uncover and bake until cheese has melted and browned, about 15 minutes.|AllRecipes/Qi Ai|Cook's Note:|Use a mix of zucchini and squash if desired.","https://www.allrecipes.com/recipe/245251/zucchini-stuffing-bake/"
2,"Zucchini Waffles (Green Waffles)","Breakfast and Brunch,Waffle Recipes",4.1,13,"https://www.allrecipes.com/thmb/egqxjYn0Y6rMmzOFcXAcWj0NCCA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-recipe-254805-zucchini-waffles-green-waffles-VAT-hero-03-4x3-0e848d9fc3264c5393aa4e11a24edaba.jpg","20 mins","A gluten-free waffle using zucchini and dry potato flakes--think green eggs and ham. Serve with sour cream, tart jam, onion chip dip, or applesauce. They can be breakfast, brunch, lunch, or a side dish. Easier than standing at the stove and frying zucchini pancakes. I like them with my homemade rhubarb jam.","3 cups shredded zucchini|2 eggs|1 tablespoon vegetable oil|¼ teaspoon onion powder|1 pinch salt|½ cup dry potato flakes|¼ teaspoon baking powder","Gather all ingredients. Preheat a waffle iron according to manufacturer's instructions.|AllRecipes/Diana Chistruga|Mix zucchini, eggs, vegetable oil, onion powder, and salt together in a bowl. Stir in potato flakes and baking powder; mix until batter is combined.|AllRecipes/Diana Chistruga|Pour 1/2 cup of the batter onto the center of the waffle iron. Close the lid; cook until iron stops steaming and waffle is crisp, about 5 minutes.|AllRecipes/Diana Chistruga","https://www.allrecipes.com/recipe/254805/zucchini-waffles-green-waffles/"
3,"Slow Cooker Pheasant with Mushrooms and Olives","Everyday Cooking",4.7,59,"https://www.allrecipes.com/thmb/fIhwkmhqrmyugL-BO7TB6NCULv8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5211527-d29c76bff5874f9da44a0da887de28df.jpg","4 hrs 45 mins","Pheasant recipes—especially good ones—are very hard to find! This slow cooker version with mushrooms and olives results in a moist, tender, and delicious pheasant that even my kids will gobble up. It's adapted from a recipe a friend passed on to me.","¾ cup all-purpose flour|¼ teaspoon ground black pepper|salt to taste|2 pheasants, rinsed, patted dry, and cut into pieces|2 tablespoons olive oil|1 onion, sliced into rings|1 cup sliced cremini mushrooms|1 tablespoon chopped garlic|1 cup white wine|1 cup chicken broth|½ cup sliced black olives","Place flour, pepper, and salt into a resealable plastic bag; shake to combine. Add pheasant pieces to flour mixture; shake until evenly coated.|Heat olive oil in a large skillet over medium-high heat. Shake excess flour from pheasant pieces; add to skillet. Cook until brown on both sides, about 3 minutes per side; transfer to a slow cooker, reserving oil in the skillet.|Cook onion in skillet until softens, about 3 minutes. Stir in mushrooms and garlic; continue cooking and stirring until mushrooms softened and garlic mellowed, about 5 minutes more.|Add wine to skillet; bring to a boil. Boil 5 minutes, then add chicken broth; return to a boil. Transfer mushroom mixture to the slow cooker; sprinkle with black olives.|Cover slow cooker; cook on High for 4 hours or Low for 7 hours.","https://www.allrecipes.com/recipe/165163/slow-cooker-pheasant-with-mushrooms-and-olives/"
4,"Avocado Toast (Vegan)","Everyday Cooking,Vegan,Breakfast and Brunch",4.8,143,"https://www.allrecipes.com/thmb/tuoOX5LzxEww-9HzfJYHzaCT6cI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3605756-4910cb02090848bebfbe1563270f38d9.jpg","10 mins","Avocado toast is a deliciously hearty breakfast. If you are not vegan, you can serve fried eggs on top for a delicious vegetarian meal.","4 slices whole-grain bread|1 avocado, halved and pitted|2 tablespoons chopped fresh parsley|1 ½ teaspoons extra-virgin olive oil|½ lemon, juiced, or to taste|½ teaspoon salt|½ teaspoon ground black pepper|½ teaspoon onion powder|½ teaspoon garlic powder","Toast bread in a toaster or toaster oven.|Mash avocado, parsley, olive oil, lemon juice, salt, black pepper, onion powder, and garlic powder together in bowl using a potato masher; spread on top of toast slices.","https://www.allrecipes.com/recipe/246803/avocado-toast-vegan/"
5,"Instant Pot BBQ Rib Tips","Meat and Poultry,Pork,Pork Rib Recipes",5.0,4,"https://www.allrecipes.com/thmb/hestZ3xNtR2FZp8KYBxTh5RsjqA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6926436-0904c8392c604ec79d80450097e5e900.jpg","1 hr 20 mins","Making St. Louis-style barbecue ribs? Buy spare ribs instead and at a fraction of the price. Cut off the tips and you'll have a whole other treat in itself. Rib tips. Your Instant Pot will show you just how.","1 cup water|½ cup apple cider vinegar|2 pounds rib tips|1 tablespoon barbecue rub|1 teaspoon kosher salt|1 cup barbecue sauce","Add water and vinegar to a multi-functional pressure cooker (such as Instant Pot). Set trivet inside.|Sprinkle rib tips with barbecue rub and salt; massage to coat. Set rib tips on top of the trivet. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 40 minutes. Allow 8 minutes for pressure to build.|Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Unlock and remove the lid.|Transfer rib tips to a baking dish; let cool 5 minutes. Add barbecue sauce; stir to coat.|Preheat an outdoor grill for medium-high heat and lightly oil the grate.|Grill rib tips for 6 minutes, flipping halfway.","https://www.allrecipes.com/recipe/275243/instant-pot-bbq-rib-tips/"
7,"Vietnamese Aromatic Lamb Chops","Cuisine,Asian,Vietnamese",4.5,179,"https://www.allrecipes.com/thmb/krwhOeRdyxYRNO0mrLfdp6QGpdI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1060249-36f524a6dd074b53b4c9a5ffa1526aa4.jpg","8 hrs 30 mins","These are the most delicious and aromatic lamb chops you'll ever taste! When I make it, this savory Vietnamese-inspired lamb dish has impressed EVERYONE and has had people coming back for more for many years. It's suitable for any occasion...even Christmas or Thanksgiving. Plan ahead so you can marinate the lamb overnight.","15 (3 ounce) lamb loin chops (1-inch thick)|2 tablespoons white sugar|2 cloves garlic, sliced|1 teaspoon garlic powder, or to taste|1 pinch chili powder|salt and freshly ground black pepper to taste|2 tablespoons olive oil|1 tablespoon fresh lime juice|1 tablespoon soy sauce|¼ cup chopped fresh cilantro|2 lemon wedges|2 lime wedges","Place lamb chops into a roasting pan; season with sugar, sliced garlic, garlic powder, chili powder, salt, and black pepper. Drizzle with olive oil, 1 tablespoon lime juice, and soy sauce. Cover pan; refrigerate overnight.|Preheat the oven to 400 degrees F (200 degrees C). Let lamb stand at room temperature while the oven preheats.|Roast in the preheated oven, uncovered, until desired degree of doneness, about 20 minutes for medium, or 30 minutes for well-done. Sprinkle with cilantro and squeeze lemon and lime juice over top before serving.","https://www.allrecipes.com/recipe/152156/vietnamese-aromatic-lamb-chops/"
9,"Speckled Trout in Capers and White Wine","Seafood,Fish",4.4,8,"https://www.allrecipes.com/thmb/CbAYTTptwvwCOb2Gsl99sPKJOBM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4505375-885359d91f9048af8f994b960bb64484.jpg","40 mins","Speckled trout baked in a white wine-capers sauce. This recipe will work with trout, grouper, or any solid white fish. So easy and delicious. Serve with corn, mixed vegetables, or glazed carrots and broccoli.","1 pound fresh speckled trout|2 tablespoons unsalted butter|1 tablespoon lemon pepper|1 teaspoon capers|1 pinch paprika, or to taste|¼ cup white cooking wine|1 teaspoon minced fresh parsley, or to taste","Preheat the oven to 400 degrees F (200 degrees C). Line a baking dish with aluminum foil.|Place trout in the middle of the aluminum foil; top with butter, lemon pepper, capers, and paprika. Pour cooking wine over trout. Close foil around the trout.|Bake in the preheated oven until trout flakes easily with a fork, about 30 minutes; garnish with parsley.","https://www.allrecipes.com/recipe/247285/speckled-trout-in-capers-and-white-wine/"
10,"Easy Garlic Knots","Appetizers and Snacks,Garlic Bread Recipes",0.0,0,"https://www.allrecipes.com/thmb/LHAeVnYHEwpQg0hPRF6SmqWE1rI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8690072-GarlicKnots-Allrecipes-Magazine-KH_052324_AR0892-4x3-3f6390c442544664b75b86df59b392cc.jpg","30 mins","These easy garlic knots are so good, you'll want to make an extra batch to take pizza night to the next level.","10 ounces pizza dough|1/3 cup extra-virgin olive oil|1/3 cup minced garlic (about 8 large cloves)|1/3 cup grated Parmesan cheese|3 tablespoons chopped fresh parsley|1 teaspoon crushed red pepper|1/2 teaspoon kosher salt","Preheat the oven to 350 degrees F (175 degrees C). Grease a large baking sheet.|Roll out dough on a lightly floured surface to a 10x16-inch rectangle. Cut dough lengthwise into 12 strips. Halve strips to make 24 (8-inch-long) strips. Tie each strip in a knot. Arrange on prepared baking sheet.|Bake in the preheated oven until golden brown, 10 to 15 minutes. Transfer knots to a large bowl. Drizzle with oil. Sprinkle with garlic, Parmesan, parsley, crushed red pepper, and salt. Toss gently to coat.","https://www.allrecipes.com/easy-garlic-knots-recipe-8690072"
11,"Honey-Balsamic Chicken","Meat and Poultry,Chicken,Chicken Thigh Recipes",4.3,233,"","2 hrs 45 mins","Short on ingredients, this marinated honey-balsamic chicken bakes up tender and flavorful. It's good enough for company. Serve with rice and salad to complete the meal.","¼ cup balsamic vinegar|¼ cup olive oil|¼ cup honey|½ teaspoon dried thyme|½ teaspoon dried rosemary|2 pounds bone-in chicken thighs, or more to taste|salt and ground black pepper to taste","Whisk balsamic vinegar, olive oil, honey, thyme, and rosemary together in a bowl until smooth; pour into a resealable plastic bag.|Season chicken thighs with salt and black pepper. Add to balsamic marinade, toss to coat, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 2 to 8 hours.|Preheat the oven to 375 degrees F (190 degrees C).|Transfer chicken and marinade to a baking dish.|Bake in the preheated oven until no longer pink at the bone and juices run clear, 35 to 40 minutes. An instant-read thermometer inserted near but not touching the bone should read 165 degrees F (74 degrees C).","https://www.allrecipes.com/recipe/241398/honey-balsamic-chicken/"
12,"Eggnog Creme Brulee","Desserts,Custards and Puddings,Creme Brulee Recipes",4.8,21,"https://www.allrecipes.com/thmb/FOViV5nsxESHLZsdeYHtYj55m6s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1921753-b8893db560ca4990adbf23f1723f3051.jpg","4 hrs 30 mins","I have been making crème brûlée for my wife for quite some time, and one day, she asked me, 'Honey, is it possible to make crème brûlée out of eggnog? I think that would be so yummy.' So, I bought some eggnog and set about finding out if it is possible, and it is. You can also take the same recipe and pour it into a prepared pie crust for an eggnog custard pie. It's a lot less work and hassle than individual ramekins.","2 cups eggnog|4 egg yolks|¼ cup white sugar|3 ounces mascarpone cheese, softened|1 teaspoon vanilla extract (Optional)|1 dash ground nutmeg (Optional)|1 dash ground cinnamon (Optional)","Preheat the oven to 350 degrees F (175 degrees C). Place 4 ramekins or custard cups into a shallow baking dish; add enough water to come halfway up the sides of the ramekins.|Heat eggnog in a pan over medium heat; cook and stir occasionally until simmers, about 10 minutes.|Meanwhile, beat egg yolks and sugar together in a mixing bowl until light colored and frothy. Stir in mascarpone until well blended and smooth; whisk in 1/4 cup heated eggnog. Gradually whisk in remaining eggnog. Pour custard through a fine-mesh-sieve to remove any egg strands. Stir in vanilla extract, nutmeg, and cinnamon. Pour into the prepared ramekins, dividing evenly.|Bake in the preheated oven until custard set, 30 to 45 minutes. Centers should wiggle slightly when shaken, but not be soupy.|Remove from oven and cool 30 minutes; refrigerate at least 3 hours before serving.","https://www.allrecipes.com/recipe/132864/eggnog-creme-brulee/"
